date,code site,NO2,PM10,PM2.5,Latitude,Longitude,meteo_index,distance_meteo,station,temperature,Humidité,wind,rain
2026-03-15 00:00:00,FR06006,30.9,10.0,7.2,50.36425,3.52273,25642,0.4723913794725733,LILLE-LESQUIN,5.2000000000000455,97.0,4.3,0.0
2026-03-15 00:00:00,FR06011,18.5,7.9,6.4,50.32276,3.39593,25642,0.3875410720168881,LILLE-LESQUIN,5.2000000000000455,97.0,4.3,0.0
2026-03-15 00:00:00,FR06133,2.7,10.1,9.3,50.09225,3.85003,86606,0.6998608174408668,ST QUENTIN,6.900000000000034,89.0,4.8,0.0
2026-03-15 00:00:00,FR07004,4.1,4.4,3.1,45.79728,3.113833,25580,0.03700526731426181,CLERMONT-FD,5.900000000000034,79.0,7.9,0.0
2026-03-15 00:00:00,FR05074,18.4,10.7,5.3,49.48963,0.100703,27638,0.04430131144785966,OCTEVILLE,7.400000000000034,86.0,4.4,0.0
2026-03-15 00:00:00,FR04328,10.4,7.1,5.7,48.3547,2.6453,73186,0.2579105866167536,MELUN,8.0,92.0,0.8,0.0
2026-03-15 00:00:00,FR05087,12.1,12.2,12.9,49.498417,0.758697,39725,0.4335404080186774,ROUEN-BOOS,9.800000000000011,76.0,7.3,0.0
2026-03-15 00:00:00,FR07022,1.3,3.5,2.2,46.652668,3.600667,59883,0.48230351036872987,ST YAN,12.0,71.0,3.7,0.0
2026-03-15 00:00:00,FR07058,13.8,9.1,7.3,46.34072,2.593945,30376,0.6644802893570277,GUERET-ST LAURENT,9.100000000000025,78.0,2.0,0.0
2026-03-15 00:00:00,FR07059,3.3,7.2,5.0,46.130432,3.425694,55214,0.04520435768816802,VICHY-CHARMEIL,9.800000000000011,78.0,3.9,0.0
2026-03-15 00:00:00,FR08016,5.0,2.6,1.3,43.5915,3.88681,96334,0.07935246270910651,MONTPELLIER-AEROPORT,12.800000000000011,29.0,13.7,0.0
2026-03-15 00:00:00,FR08020,1.3,2.4,1.2,43.6758,4.08838,96334,0.15884470736540404,MONTPELLIER-AEROPORT,12.800000000000011,29.0,13.7,0.0
2026-03-15 00:00:00,FR08614,2.1,3.8,1.4,43.8344,4.3744,98044,0.03902506858418066,NIMES-COURBESSAC,6.800000000000011,38.0,5.8,0.0
2026-03-15 00:00:00,FR09003,17.0,16.8,6.8,46.162647,-1.153684,7259,0.04236297791704374,LA ROCHELLE-ILE DE RE,-4.599999999999966,98.0,5.3,0.0
2026-03-15 00:00:00,FR07051,3.8,4.9,3.4,45.769,3.155,25580,0.018711781796507485,CLERMONT-FD,5.900000000000034,79.0,7.9,0.0
2026-03-15 00:00:00,FR07052,6.1,3.6,2.5,44.92008,2.441082,27159,0.03601504720252222,AURILLAC,4.7000000000000455,88.0,2.2,0.0
2026-03-15 00:00:00,FR07057,8.7,11.0,9.4,46.561974,3.3406389,55214,0.39954334513117845,VICHY-CHARMEIL,9.800000000000011,78.0,3.9,0.0
2026-03-15 00:00:00,FR04329,37.6,15.0,4.8,48.838615,2.412781,28086,0.07684033711534573,PARIS-MONTSOURIS,5.900000000000034,88.0,4.3,0.0
2026-03-15 00:00:00,FR04156,26.2,6.0,4.7,48.902504,2.4525,36183,0.06942245407647595,LE BOURGET,8.400000000000034,96.0,3.9,0.6
